#WAVELENGTH,THROUGHPUT
3651.0400390625,7.685358803499482E-8
3660.0,8.274042721074014E-8
3661.04248046875,8.343429527667803E-8
3670.0,8.424427196174073E-8
3671.045166015625,8.43313328013649E-8
3680.0,8.484153198217543E-8
3681.0478515625,8.490133364090189E-8
3690.0,9.310380302653619E-8
3691.05029296875,9.407660773062944E-8
3700.0,1.0109186667768053E-7
3701.052978515625,1.0191021281134426E-7
3710.0,1.1893476031168584E-7
3711.0556640625,1.2095851511389595E-7
3720.0,1.3069934214796405E-7
3721.05810546875,1.3184273682394965E-7
3730.0,1.5428238548591596E-7
3731.060791015625,1.5694964799563127E-7
3740.0,1.765643037841435E-7
3741.063232421875,1.7891825328305888E-7
3750.0,2.087079774930039E-7
3751.06591796875,2.1225136584885945E-7
3760.0,2.297862893070207E-7
